20260708T,0,1000,0,198.74,0
20260709T,0,1000,0,198.74,0
20260710T,0,1000,0,198.74,0
20260711T,0,1000,0,198.74,0
20260712T,0,1000,0,198.74,0
20260713T,0,1000,0,140.41,0
20260714T,0,1000,0,140.41,0
20260715T,0,1000,0,140.41,0
20260716T,0,1000,0,140.41,0
20260717T,0,1000,0,140.41,0
20260718T,0,1000,0,112.73,0
20260719T,0,1000,0,112.73,0
20260720T,0,1000,0,112.73,0
20260721T,0,1000,0,112.73,0
20260722T,0,1000,0,112.73,0
20260723T,0,1000,0,100.9,0
20260724T,0,1000,0,100.9,0
20260725T,0,1000,0,100.9,0
20260726T,0,1000,0,100.9,0
20260727T,0,1000,0,100.9,0
20260728T,0,1000,0,91.0,0
20260729T,0,1000,0,91.0,0
20260730T,0,1000,0,91.0,0
20260731T,0,1000,0,91.0,0
20260801T,0,1000,0,91.0,0
20260802T,0,1000,0,79.78,0
20260803T,0,1000,0,79.78,0
20260804T,0,1000,0,79.78,0
20260805T,0,1000,0,79.78,0
20260806T,0,1000,0,79.78,0
20260807T,0,1000,0,67.46,0
20260808T,0,1000,0,67.46,0
20260809T,0,1000,0,67.46,0
20260810T,0,1000,0,67.46,0
20260811T,0,1000,0,67.46,0
